"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"14 First","","Kentucky","","Neo-Nazi","","Yes","2021"
"14 First","","Texas","","Neo-Nazi","","Yes","2021"
"14 First","","Washington","","Neo-Nazi","Yes","Yes","2021"
"A Voice For Men","Roanoke","Virginia","","Male Supremacy ","Yes","","2021"
"A.D.S. Services","","Pennsylvania","","Hate Music ","Yes","Yes","2021"
"AC Skins","","California","","Racist Skinhead ","","Yes","2021"
"AC Skins","Atlantic City","New Jersey","","Racist Skinhead ","","","2021"
"ACT for America","Tucson","Arizona","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","San Fernando Valley","California","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","San Gabriel Valley","California","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","Laguna Woods","California","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","Santa Clarita","California","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","Los Angeles","California","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","Mission Viejo","California","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","Corona","California","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","Cheshire","Connecticut","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","","Connecticut","ACT for America ","Anti-Muslim","","Yes","2021"
"ACT for America","Bear","Delaware","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","Washington","District of Columbia","ACT for America ","Anti-Muslim","Yes","","2021"
"ACT for America","Heathrow","Florida","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","Viera","Florida","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","Des Plaines","Illinois","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","Metairie","Louisiana","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","Baton Rouge","Louisiana","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","Hopkinton","Massachusetts","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","Hollis","New Hampshire","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","Houston","Texas","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","Vancouver","Washington","ACT for America ","Anti-Muslim","","","2021"
"ACT for America","Spokane Valley","Washington","ACT for America ","Anti-Muslim","","","2021"
"ACTBAC NC","Snow Camp","North Carolina","","Neo-Confederate","Yes","","2021"
"Affirmative Right","Atlanta","Georgia","","White Nationalist ","Yes","","2021"
"Alabama Knights of the Ku Klux Klan","","Alabama","","Ku Klux Klan ","Yes","Yes","2021"
"AlertAmerica.News","Hauppauge","New York","","Anti-Muslim","Yes","","2021"
"All Scripture Baptist Church","Knoxville","Tennessee","","Anti-LGBTQ","Yes","","2021"
"Alliance Defending Freedom","Scottsdale","Arizona","Alliance Defending Freedom","Anti-LGBTQ","Yes","","2021"
"Ambassadors of Christ","Chicago","Illinois","","General Hate ","","","2021"
"Ambassadors of Christ","Brooklyn","New York","","General Hate ","Yes","","2021"
"America First Foundation","Saint Petersburg","Florida","","White Nationalist ","","","2021"
"America First Foundation","Western Springs","Illinois","","White Nationalist ","Yes","","2021"
"American Border Patrol","Sierra Vista","Arizona","American Border Patrol/American Patrol","Anti-Immigrant","Yes","","2021"
"American Christian Dixie Knights of the Ku Klux Klan","","Florida","","Ku Klux Klan ","","Yes","2021"
"American Christian Dixie Knights of the Ku Klux Klan","Philadelphia","Pennsylvania","","Ku Klux Klan ","","","2021"
"American Christian Dixie Knights of the Ku Klux Klan","","Tennessee","","Ku Klux Klan ","Yes","Yes","2021"
"American College of Pediatricians","Gainesville","Florida","American College of Pediatricians","Anti-LGBTQ","Yes","","2021"
"American Defense Skinheads","","Illinois","","Racist Skinhead ","","Yes","2021"
"American Defense Skinheads","","Pennsylvania","","Racist Skinhead ","","Yes","2021"
"American Family Association","Tupelo","Mississippi","American Family Association","Anti-LGBTQ","Yes","","2021"
"American Family Association","Franklin","Pennsylvania","American Family Association","Anti-LGBTQ","","","2021"
"American Free Press","Upper Marlboro","Maryland","","General Hate ","Yes","","2021"
"American Freedom Alliance","Encino","California","","Anti-Muslim","Yes","","2021"
"American Freedom Defense Initiative","New York City","New York","","Anti-Muslim","Yes","","2021"
"American Freedom Law Center","Ann Arbor","Michigan","","Anti-Muslim","Yes","","2021"
"American Freedom News","Hampton Twp","Pennsylvania","","White Nationalist ","Yes","","2021"
"American Freedom Party","Los Angeles","California","American Freedom Party","White Nationalist ","Yes","","2021"
"American Freedom Party","New York","New York","American Freedom Party","White Nationalist ","","","2021"
"American Front","","California","","Racist Skinhead ","","Yes","2021"
"American Front","","Montana","","Racist Skinhead ","","Yes","2021"
"American Front","","Washington","","Racist Skinhead ","","Yes","2021"
"American Futurist","Denver","Colorado","","Neo-Nazi","Yes","","2021"
"American Futurist","","Michigan","","Neo-Nazi","","Yes","2021"
"American Immigration Control Foundation/Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","Yes","","2021"
"American National Socialist Party","","Texas","","Neo-Nazi","","Yes","2021"
"American Nazi Party","","Georgia","","Neo-Nazi","","Yes","2021"
"American Nazi Party","","New Hampshire","","Neo-Nazi","","Yes","2021"
"American Patriots USA","Dahlonega","Georgia","","White Nationalist ","Yes","","2021"
"American Reformation Front","","Texas","","General Hate ","Yes","Yes","2021"
"American Renaissance/New Century Foundation","Oakton","Virginia","American Renaissance","White Nationalist ","Yes","","2021"
"American Vision","Powder Springs","Georgia","","Anti-LGBTQ","Yes","","2021"
"Americans for Legal Immigration (ALIPAC)","Raleigh","North Carolina","","Anti-Immigrant","Yes","","2021"
"Americans for Truth About Homosexuality","Columbus","Ohio","","Anti-LGBTQ","Yes","","2021"
"Amerikaner","","South Dakota","","White Nationalist ","Yes","Yes","2021"
"Antelope Hill Publishing","Quakertown","Pennsylvania","","White Nationalist ","Yes","","2021"
"Arktos Media","New York","New York","","White Nationalist ","Yes","","2021"
"Army of Israel","","Missouri","","General Hate ","Yes","Yes","2021"
"Aryan Freedom Network","","Texas","","Neo-Nazi","Yes","Yes","2021"
"Aryan Nations - Church of the Jesus Christ Christian","","Arizona","Aryan Nations","Neo-Nazi","Yes","Yes","2021"
"AryanFolk.com","","Oregon","","Neo-Nazi","Yes","Yes","2021"
"Asatru Folk Assembly","","Alaska","Asatru Folk Assembly","Neo-Völkisch","","Yes","2021"
"Asatru Folk Assembly","Tucson","Arizona","Asatru Folk Assembly","Neo-Völkisch","","","2021"
"Asatru Folk Assembly","","California","Asatru Folk Assembly","Neo-Völkisch","Yes","Yes","2021"
"Asatru Folk Assembly","","Colorado","Asatru Folk Assembly","Neo-Völkisch","","Yes","2021"
"Asatru Folk Assembly","","Florida","Asatru Folk Assembly","Neo-Völkisch","","Yes","2021"
"Asatru Folk Assembly","","Georgia","Asatru Folk Assembly","Neo-Völkisch","","Yes","2021"
"Asatru Folk Assembly","","Illinois","Asatru Folk Assembly","Neo-Völkisch","","Yes","2021"
"Asatru Folk Assembly","","Indiana","Asatru Folk Assembly","Neo-Völkisch","","Yes","2021"
"Asatru Folk Assembly","","Massachusetts","Asatru Folk Assembly","Neo-Völkisch","","Yes","2021"
"Asatru Folk Assembly","","Minnesota","Asatru Folk Assembly","Neo-Völkisch","","Yes","2021"
"Asatru Folk Assembly","","Missouri","Asatru Folk Assembly","Neo-Völkisch","","Yes","2021"
"Asatru Folk Assembly","Sparks","Nevada","Asatru Folk Assembly","Neo-Völkisch","","","2021"
"Asatru Folk Assembly","Linden","North Carolina","Asatru Folk Assembly","Neo-Völkisch","","","2021"
"Asatru Folk Assembly","","North Dakota","Asatru Folk Assembly","Neo-Völkisch","","Yes","2021"
"Asatru Folk Assembly","Southern","Ohio","Asatru Folk Assembly","Neo-Völkisch","","","2021"
"Asatru Folk Assembly","Northern","Ohio","Asatru Folk Assembly","Neo-Völkisch","","","2021"
"Asatru Folk Assembly","","Oregon","Asatru Folk Assembly","Neo-Völkisch","","Yes","2021"
"Asatru Folk Assembly","","Pennsylvania","Asatru Folk Assembly","Neo-Völkisch","","Yes","2021"
"Asatru Folk Assembly","","South Carolina","Asatru Folk Assembly","Neo-Völkisch","","Yes","2021"
"Asatru Folk Assembly","","Texas","Asatru Folk Assembly","Neo-Völkisch","","Yes","2021"
"Asatru Folk Assembly","","Virginia","Asatru Folk Assembly","Neo-Völkisch","","Yes","2021"
"Asatru Folk Assembly","","Washington","Asatru Folk Assembly","Neo-Völkisch","","Yes","2021"
"Asatru Folk Assembly","","West Virginia","Asatru Folk Assembly","Neo-Völkisch","","Yes","2021"
"Asatru Folk Assembly","","Wisconsin","Asatru Folk Assembly","Neo-Völkisch","","Yes","2021"
"ATLAH Media Network","New York","New York","","Anti-LGBTQ","Yes","","2021"
"AZ Patriots","","Arizona","","Anti-Immigrant","Yes","Yes","2021"
"Bay State Active Club","","Massachusetts","","White Nationalist ","","Yes","2021"
"BeaSSt Productions","Roanoke","Virginia","","Hate Music ","Yes","","2021"
"Bill Keller Ministries","Saint Petersburg","Florida","","General Hate ","Yes","","2021"
"Black Metal Cult Records","Phoenix","Arizona","","Hate Music ","Yes","","2021"
"Black Riders Liberation Party","Los Angeles","California","","General Hate ","Yes","","2021"
"Blood River Radio","Bartlett","Tennessee","","White Nationalist ","Yes","","2021"
"Bomb Islam","Phoenix","Arizona","","General Hate ","Yes","","2021"
"Brotherhood of Light Recordings","","California","","Hate Music ","Yes","Yes","2021"
"Bureau on American Islamic Relations","Irving","Texas","","Anti-Muslim","Yes","","2021"
"Californians for Population Stabilization","Ventura","California","","Anti-Immigrant","Yes","","2021"
"carolynyeager.net","Kerrville","Texas","","Antisemitism","Yes","","2021"
"Catholic Apologetics International","Greencastle","Pennsylvania","","Radical Traditional Catholicism ","Yes","","2021"
"Catholic Family News/Catholic Family Ministries, Inc.","Niagara Falls","New York","","Radical Traditional Catholicism ","Yes","","2021"
"Center for Family and Human Rights (C-FAM)","New York","New York","","Anti-LGBTQ","Yes","","2021"
